NAME,formula,CAS-nr.,Tc / K,Pc / kPa,vc / cm3 mol-1,??i
HEXYLMERCAPTAN,C6H14S,111-31-9,622,3020.002,426,0.3646
OCTYLMERCAPTAN,C8H18S,111-88-6,667.3,2500.002,505,0.4466
SULFUR TRIOXIDE,O3S,7446-11-09,490.85,8207.325,127.8,0.4121
METHYL ETHYL ETHER,C3H8O,540-67-0,437.8,4397.505,221,0.2361
"2,2,3-TRIMETHYLPENTANE",C8H18,0564-02-03,563.5,2729.696,436,0.297
FLUORINE,F2,7782-41-4,144.31,5215.198,66.2,0.0588
PROPADIENE,C3H4,463-49-0,393.9,5250,166,0.0645
"1,2-EPOXYBUTANE",C4H8O,106-88-7,520,4660.95,250,0.3021
"2,2,3,3,4,4,5,5,5-NONAFLUORO-1-PENTANOL",C5H3F9O,355-28-2,521.45,2330,450,0.6788
OZONE,O3,10028-15-6,261.05,5532,89,0.1559
"1,2-EPOXYHEXANE",C6H12O,1436-34-6,585,3303.195,360,0.318
CAPRALDEHYDE,C10H20O,112-31-2,674.2,2604.053,599,0.552
"1,1-DICHLORO TETRAFLUORO ETHANE [R114A]",C2Cl2F4,0374-07-02,418.65,3303,293.7,0.2588
1-NONYLCHLORIDE,C9H19Cl,2473-01-0,663,2307.17,581,0.5018
2-METHYLPROPANOIC ACID METHYL ESTER,C5H10O2,547-63-7,540.8,3434.918,339,0.362
