NAME,formula,CAS-nr.,Tc / K,Pc / kPa,vc / cm3 mol-1,??i
TETRAKIS(DIMETHYLAMINO)ETHYLENE,C10H24N4,996-70-3,680,2400,641,0.3861
PERFLUOROETHYLMETHYLETHER,C3F8O,665-16-7,356.85,2315,318.8,0.3449
"2-METHYL-1,3-PROPANEDIOL",C4H10O2,2163-42-0,708,5350,282,0.5869
EXO-TETRAHYDRODICYCLOPENTADIENE,C10H16,2825-83-4,698,3733,285,0.2841
"2,2,3,3-TETRAFLUOROPROPYL-1,1,1,2,3,3-HEXAFLUOROPROPYLETHER",C6H4F10O,529484-85-3,507.65,1840,528.2,0.5935
PERFLUORO-TERT.-BUTYLMETHYLETHER,C5H3F9O,66670-22-2,462.72,2366,448.1,0.4054
"2,2,3,3,5,5,6-HEPTAFLUORO-1,4-DIOXANE",C4HF7O2,34118-18-8,452.88,2866,358.5,0.3855
"4,4,5,5-TETRAFLUORO-2-TRIFLUOROMETHYL-1,3-DIOXOLANE",C4HF7O2,269716-57-6,435.06,2645,376.2,0.4229
"3,3,4,4,4-PENTAFLUORO-2-BUTANONE",C4H3F5O,374-41-4,453.03,2912,333.5,0.4148
"3,4,4,4-TETRAFLUORO-3-TRIFLUOROMETHYL-2-BUTANONE",C5H3F7O,80553-01-1,467.24,2522,409.4,0.4195
